Unnamed: 0,area,ciudad,zona,residuos,residuos_especiales,agua,energia,conciencia,final
260,rural,10156,LLACAO,0.0,0.0,0.5,0.0,0.5,2
261,rural,10156,LLACAO,0.5,0.5,0.0,1.0,1.0,1
262,rural,10156,LLACAO,1.0,0.0,1.0,1.0,0.5,0
263,rural,10156,LLACAO,0.5,0.5,1.0,0.0,0.5,0
264,rural,10156,LLACAO,1.0,0.0,1.0,0.5,0.5,0
265,rural,10156,LLACAO,0.5,0.5,0.0,0.0,1.0,2
266,rural,10156,LLACAO,0.0,0.0,0.5,1.0,1.0,1
267,rural,10156,LLACAO,1.0,0.5,0.5,0.5,1.0,0
268,rural,10161,QUINGEO,1.0,0.5,1.0,0.0,1.0,0
269,rural,10161,QUINGEO,0.5,0.0,0.5,1.0,1.0,1
270,rural,10161,QUINGEO,0.0,0.0,0.5,0.0,0.5,2
271,rural,10161,QUINGEO,1.0,0.0,1.0,0.5,1.0,0
272,rural,10161,QUINGEO,1.0,0.0,0.0,0.5,1.0,1
273,rural,10161,QUINGEO,1.0,0.5,0.0,0.0,1.0,2
274,rural,10161,QUINGEO,1.0,0.0,0.5,1.0,0.5,1
275,rural,10161,QUINGEO,1.0,0.0,0.0,0.5,0.0,2
276,rural,10161,QUINGEO,0.5,0.5,0.5,1.0,0.5,1
277,rural,10161,QUINGEO,0.0,0.0,0.5,0.0,1.0,2
278,rural,10161,QUINGEO,1.0,0.0,1.0,0.5,1.0,0
279,rural,10161,QUINGEO,0.5,0.5,0.5,1.0,0.5,1
280,rural,10165,SAYAUSI,0.5,1.0,1.0,1.0,0.5,0
281,rural,10165,SAYAUSI,0.0,0.5,1.0,1.0,0.0,0
282,rural,10165,SAYAUSI,0.5,0.5,0.0,1.0,0.0,1
283,rural,10165,SAYAUSI,0.5,0.5,0.0,0.0,0.5,2
284,rural,10165,SAYAUSI,0.5,0.0,1.0,1.0,1.0,0
285,rural,10165,SAYAUSI,1.0,0.0,1.0,1.0,0.5,0
286,rural,10165,SAYAUSI,0.5,0.0,0.5,0.0,1.0,2
287,rural,10165,SAYAUSI,0.5,0.5,0.0,1.0,0.0,1
288,rural,10165,SAYAUSI,0.0,1.0,0.5,0.5,0.0,2
289,rural,10165,SAYAUSI,1.0,0.0,1.0,0.5,0.5,0
290,rural,10165,SAYAUSI,1.0,0.5,0.0,0.5,0.0,2
291,rural,10165,SAYAUSI,0.0,0.0,1.0,0.0,0.0,0
292,rural,10165,SAYAUSI,1.0,0.0,0.0,1.0,0.0,1
293,rural,10165,SAYAUSI,1.0,0.0,1.0,1.0,0.0,0
294,rural,10165,SAYAUSI,1.0,0.5,1.0,0.5,0.0,0
295,rural,10165,SAYAUSI,1.0,0.0,0.5,1.0,0.0,1
296,rural,10165,SAYAUSI,0.0,0.0,0.0,0.5,1.0,1
297,rural,10165,SAYAUSI,0.5,0.5,0.0,1.0,1.0,1
298,rural,10165,SAYAUSI,0.0,0.0,1.0,0.0,0.5,0
299,rural,10165,SAYAUSI,0.5,0.0,0.0,0.5,0.5,2
300,rural,10165,SAYAUSI,0.0,0.5,0.5,0.0,0.5,2
301,rural,10165,SAYAUSI,1.0,0.0,1.0,1.0,0.0,0
302,rural,10165,SAYAUSI,0.0,0.0,1.0,0.0,0.0,0
303,rural,10165,SAYAUSI,1.0,0.0,1.0,0.5,1.0,0
304,rural,10166,SIDCAY,0.5,0.5,0.0,0.5,1.0,1
