indice,residuos,residuos_especiales,agua,energia,conciencia
691,0.5,0,1,0.5,1
692,0.5,0,1,0.5,0.5
693,0.5,0,0.5,0,0.5
694,0.5,0,0,1,0.5
695,0.5,0,1,1,1
696,1,0,0,0,1
697,1,0.5,0,0,1
698,0,0.5,0,0,0.5
699,0,0,0,0,0.5
700,0.5,0.5,0,0,0.5
701,0.5,0,0,0,0.5
702,0,0.5,0,1,0.5
703,0,0.5,0,0,0.5
704,0,0,0,1,0.5
705,0.5,0,0,0,0.5
706,0.5,0,0,0,0.5
707,1,0,1,0,0.5
708,0.5,0,0,1,0.5
709,0.5,0.5,0,1,1
710,1,1,0,0.5,1
711,1,0.5,0,1,1
712,0,1,0.5,0,1
713,1,0,0.5,0,1
714,1,0,0.5,1,1
715,1,1,0,0.5,1
716,0,0,0,1,1
717,1,1,0.5,0,0.5
718,0,1,0,0.5,1
719,1,1,1,0.5,1
720,1,1,0,1,0
721,1,0,0,1,0.5
722,1,0.5,0,1,1
723,1,0.5,0.5,1,1
724,0,0,1,0.5,1
725,1,1,0,0,1
726,1,0.5,0.5,0.5,1
727,1,0,1,1,1
728,1,0.5,0.5,1,1
729,0,0,0,0,1
730,1,1,1,1,1
731,1,0.5,1,1,1
732,1,0,0,0.5,1
733,0.5,0,1,1,0.5
734,1,0,1,0.5,0.5
735,0,0.5,0,0,0
736,1,1,1,0.5,1
737,0.5,0.5,1,1,1
738,1,0,0.5,0.5,0.5
739,0.5,0,0.5,1,0.5
740,1,0.5,0,0,0.5
741,1,0.5,0,0,0.5
742,0.5,0.5,0,1,1
743,0.5,1,1,0.5,1
744,1,1,1,0,0.5
745,1,0.5,1,0,1
746,1,0.5,0,0,0.5
747,1,0.5,1,0.5,1
748,0.5,0.5,0,0,0
749,1,1,0,1,1
750,1,0,1,1,0.5
751,1,0,1,1,1
752,1,0,1,1,0.5
753,1,0.5,0,0,1
754,1,1,0.5,1,0.5
755,1,0,0,0,1
756,1,0,1,0.5,0.5
757,0.5,0.5,0,0.5,1
758,1,0,0,1,1
759,1,1,0,1,1
760,1,1,1,0,1
761,0,1,0,0.5,1
762,1,1,0,0,1
763,0,0.5,1,0,1
764,1,1,0.5,0.5,1
765,1,1,0,0.5,1
766,1,1,1,0.5,1
767,1,0,0,0,1
768,1,0,1,0.5,1
769,1,1,0,0,0.5
770,0,0,0.5,0.5,1
771,0,0.5,0,1,1
772,0.5,0,0,1,1
773,0.5,0.5,1,0.5,1
774,0,0,0,1,1
775,0.5,0,0,1,1
776,1,1,0,1,1
777,0,1,1,0.5,1
778,1,0.5,1,0.5,1
779,0,0.5,0,1,1
780,0.5,0.5,0,1,1
781,0,0.5,1,0,1
782,1,0.5,1,0,1
783,1,0,0.5,1,1
784,1,0.5,0,0,1
785,0.5,1,1,0,1
786,1,0.5,1,1,0.5
787,1,1,1,0.5,1
788,1,0,1,0,1
789,0.5,0.5,0.5,1,1
790,0.5,0,0,1,1
791,1,0,1,1,0
792,1,1,0.5,1,1
793,0.5,0,0.5,0.5,1
794,1,0,0,1,1
795,0.5,0,1,0.5,1
796,0.5,1,0,0,1
797,1,1,0,0,1
798,0.5,0,1,1,0.5
799,0.5,0.5,0,0,1
800,0,0.5,1,0.5,1
801,0,0.5,0,0.5,1
802,0.5,0,0,1,1
803,0.5,0.5,1,0.5,0.5
804,0,0.5,1,1,1
